,DESTINATION_AIRPORT,AIRLINE,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
335,DFW,MQ,50712,7.8092364726297525,Airports
336,DFW,NK,8331,16.878165886448205,Airports
337,DFW,OO,4042,12.566303809995052,Airports
338,DFW,UA,3440,9.267151162790698,Airports
339,DFW,US,3016,5.781498673740053,Airports
340,DHN,EV,1242,5.737520128824476,Airports
341,DIK,EV,326,7.616564417177914,Airports
342,DIK,OO,588,-8.646258503401361,Airports
343,DLG,AS,77,-4.194805194805195,Airports
344,DLH,DL,199,-6.150753768844221,Airports
345,DLH,OO,1461,5.735797399041752,Airports
346,DRO,EV,82,1.9878048780487805,Airports
347,DRO,MQ,779,3.3902439024390243,Airports
348,DRO,OO,1154,0.5103986135181976,Airports
349,DSM,AA,791,2.274336283185841,Airports
350,DSM,DL,933,-2.0685959271168275,Airports
351,DSM,EV,1207,10.591549295774648,Airports
352,DSM,F9,173,7.283236994219653,Airports
353,DSM,MQ,2042,7.670910871694417,Airports
354,DSM,OO,1339,11.35026138909634,Airports
355,DSM,UA,681,13.79295154185022,Airports
356,DSM,US,1,3.0,Airports
357,DSM,WN,963,6.484942886812045,Airports
358,DTW,AA,3988,1.8758776328986961,Airports
359,DTW,AS,334,-2.215568862275449,Airports
360,DTW,B6,1175,4.133617021276596,Airports
361,DTW,DL,50313,0.6102001470792837,Airports
362,DTW,EV,22295,3.6515362188831575,Airports
363,DTW,F9,641,2.277691107644306,Airports
364,DTW,MQ,2164,12.583641404805915,Airports
365,DTW,NK,7179,16.850536286390863,Airports
366,DTW,OO,10219,7.22497308934338,Airports
367,DTW,UA,940,9.138297872340425,Airports
368,DTW,US,1546,3.440491591203105,Airports
369,DTW,WN,6175,5.830121457489879,Airports
370,DVL,OO,475,-0.33473684210526317,Airports
371,EAU,OO,636,6.970125786163522,Airports
372,ECP,DL,1874,2.385272145144077,Airports
373,ECP,EV,670,-1.364179104477612,Airports
374,ECP,WN,1598,5.6958698372966206,Airports
375,EGE,AA,848,12.45754716981132,Airports
376,EGE,DL,100,-0.52,Airports
377,EGE,UA,250,6.608,Airports
378,EKO,OO,518,1.3532818532818534,Airports
379,ELM,EV,2006,7.577766699900299,Airports
380,ELP,AA,1330,5.223308270676692,Airports
381,ELP,DL,697,0.12051649928263988,Airports
382,ELP,EV,1520,5.655921052631579,Airports
383,ELP,MQ,558,11.870967741935484,Airports
384,ELP,OO,1409,7.31582682753726,Airports
385,ELP,WN,6329,8.38141886553958,Airports
386,ERI,EV,707,5.735502121640735,Airports
387,ESC,OO,551,1.1578947368421053,Airports
388,EUG,OO,3561,4.60685200786296,Airports
389,EVV,DL,353,6.192634560906516,Airports
390,EVV,EV,1812,2.198675496688742,Airports
391,EVV,MQ,1504,2.4893617021276597,Airports
392,EVV,OO,47,9.53191489361702,Airports
393,EWN,EV,564,8.27482269503546,Airports
394,EWR,AA,5293,12.00094464386926,Airports
395,EWR,AS,652,-1.0797546012269938,Airports
396,EWR,B6,6212,12.953799098518996,Airports
397,EWR,DL,4945,4.546208291203236,Airports
398,EWR,EV,29691,8.680307163787006,Airports
399,EWR,MQ,367,10.6566757493188,Airports
400,EWR,OO,2,27.0,Airports
401,EWR,UA,41973,5.611774235818264,Airports
402,EWR,US,2015,6.807940446650124,Airports
403,EWR,VX,1807,1.7399003873824017,Airports
404,EWR,WN,5266,10.132928218761869,Airports
405,EYW,DL,990,1.1313131313131313,Airports
406,EYW,EV,423,17.60520094562648,Airports
407,EYW,MQ,535,4.224299065420561,Airports
408,FAI,AS,1859,0.5589026358257128,Airports
409,FAI,DL,232,3.5560344827586206,Airports
410,FAI,UA,72,37.0,Airports
411,FAR,DL,712,0.37219101123595505,Airports
412,FAR,EV,1307,8.426166794185157,Airports
413,FAR,F9,54,27.055555555555557,Airports
414,FAR,MQ,1279,4.591868647380767,Airports
415,FAR,OO,2236,6.347048300536673,Airports
416,FAT,AA,611,1.6104746317512275,Airports
417,FAT,F9,2,-10.0,Airports
418,FAT,OO,6336,8.19302398989899,Airports
419,FAY,DL,471,1.929936305732484,Airports
420,FAY,EV,1146,6.833333333333333,Airports
421,FCA,DL,292,-1.5308219178082192,Airports
422,FCA,OO,1705,1.763049853372434,Airports
423,FLG,OO,1607,5.202862476664593,Airports
424,FLL,AA,5257,4.007228457295035,Airports
425,FLL,AS,333,-0.5105105105105106,Airports
426,FLL,B6,17712,8.114046973803072,Airports
427,FLL,DL,10508,0.13542063189950515,Airports
428,FLL,F9,695,14.037410071942446,Airports
429,FLL,NK,11314,12.561163160685876,Airports
430,FLL,UA,5080,3.7594488188976376,Airports
431,FLL,US,3084,3.172178988326848,Airports
432,FLL,VX,1235,3.2866396761133605,Airports
433,FLL,WN,17457,3.0782494128429856,Airports
434,FNT,DL,925,2.6983783783783784,Airports
435,FNT,EV,884,3.2794117647058822,Airports
436,FNT,MQ,906,3.2119205298013247,Airports
437,FNT,OO,438,2.1666666666666665,Airports
438,FNT,WN,1468,7.64850136239782,Airports
439,FSD,DL,426,5.694835680751174,Airports
440,FSD,EV,1721,9.540383497966298,Airports
441,FSD,F9,168,14.976190476190476,Airports
442,FSD,MQ,876,5.070776255707763,Airports
443,FSD,OO,1985,10.604534005037783,Airports
444,FSD,UA,4,-1.25,Airports
445,FSM,EV,1398,11.07725321888412,Airports
446,FSM,MQ,513,8.2046783625731,Airports
447,FWA,EV,325,3.664615384615385,Airports
448,FWA,MQ,1816,2.2169603524229076,Airports
449,FWA,OO,2950,7.85864406779661,Airports
450,GCC,OO,982,-2.7291242362525456,Airports
451,GCK,EV,26,27.46153846153846,Airports
452,GCK,MQ,609,3.9014778325123154,Airports
453,GEG,AA,263,-2.6159695817490496,Airports
454,GEG,AS,1529,6.084368868541531,Airports
455,GEG,DL,1440,-2.2694444444444444,Airports
456,GEG,F9,3,87.33333333333333,Airports
457,GEG,OO,2378,4.401177460050462,Airports
458,GEG,UA,616,8.527597402597403,Airports
459,GEG,US,325,-2.2615384615384615,Airports
460,GEG,WN,2897,4.114601311701761,Airports
461,GFK,OO,713,2.396914446002805,Airports
462,GGG,EV,147,9.714285714285714,Airports
463,GGG,MQ,469,2.257995735607676,Airports
464,GJT,EV,341,0.9501466275659824,Airports
465,GJT,MQ,832,3.204326923076923,Airports
466,GJT,OO,1967,1.9374682257244535,Airports
467,GNV,DL,272,2.360294117647059,Airports
468,GNV,EV,1799,9.014452473596442,Airports
469,GNV,MQ,572,8.678321678321678,Airports
470,GPT,DL,1131,-0.9336870026525199,Airports
471,GPT,EV,1979,6.609398686205154,Airports
472,GPT,MQ,418,12.04066985645933,Airports
473,GRB,DL,617,0.2366288492706645,Airports
474,GRB,EV,1730,5.986127167630058,Airports
475,GRB,MQ,1218,0.7848932676518884,Airports
476,GRB,OO,1167,7.397600685518423,Airports
477,GRI,MQ,611,1.1096563011456628,Airports
478,GRK,EV,2523,6.964328180737217,Airports
479,GRK,MQ,1352,3.334319526627219,Airports
480,GRR,DL,2819,1.2068109258602342,Airports
481,GRR,EV,1633,6.712798530312309,Airports
482,GRR,MQ,2619,7.449026345933563,Airports
483,GRR,OO,1128,7.053191489361702,Airports
484,GRR,UA,538,9.184014869888475,Airports
485,GRR,WN,1835,8.714986376021798,Airports
486,GSO,AA,142,5.866197183098592,Airports
487,GSO,DL,1891,1.4849286092014806,Airports
488,GSO,EV,3130,8.289137380191693,Airports
489,GSO,F9,133,4.2706766917293235,Airports
490,GSO,MQ,1182,13.068527918781726,Airports
491,GSO,OO,3,19.0,Airports
492,GSO,US,1,-23.0,Airports
493,GSP,DL,1671,1.666068222621185,Airports
494,GSP,EV,2932,5.863574351978172,Airports
495,GSP,MQ,466,9.416309012875537,Airports
496,GSP,OO,23,1.6956521739130435,Airports
497,GSP,WN,1303,7.533384497313891,Airports
498,GST,AS,74,10.837837837837839,Airports
499,GTF,OO,1948,0.18531827515400412,Airports
500,GTR,EV,912,4.509868421052632,Airports
501,GUC,AA,113,4.9734513274336285,Airports
502,GUC,EV,154,4.0064935064935066,Airports
503,GUC,MQ,9,14.222222222222221,Airports
504,GUC,OO,170,20.776470588235295,Airports
505,GUC,UA,24,5.833333333333333,Airports
506,GUM,UA,331,17.3202416918429,Airports
507,HDN,AA,133,3.706766917293233,Airports
508,HDN,DL,95,-0.7473684210526316,Airports
509,HDN,EV,71,4.774647887323944,Airports
510,HDN,OO,238,14.084033613445378,Airports
511,HDN,UA,149,-1.348993288590604,Airports
