,AIRLINE,ARRIVAL_DELAY
1139,UA,-28.0
1140,UA,-12.0
1141,EV,-13.0
1142,EV,-8.0
1143,B6,5.0
1144,EV,-33.0
1145,UA,-15.0
1146,UA,9.0
1147,UA,9.0
1148,B6,2.0
1149,B6,-9.0
1150,OO,7.0
1151,US,25.0
1152,US,-7.0
1153,US,-19.0
1154,VX,-38.0
1155,WN,-14.0
1156,WN,-3.0
1157,WN,-3.0
1158,UA,-18.0
1159,UA,-12.0
1160,US,1.0
1161,US,-20.0
1162,AA,-1.0
1163,AA,5.0
1164,AA,-1.0
1165,AA,-4.0
1166,AA,-15.0
1167,AA,33.0
1168,AA,-12.0
1169,AA,-9.0
1170,AA,210.0
1171,B6,-25.0
1172,B6,22.0
1173,B6,-14.0
1174,B6,-6.0
1175,DL,-15.0
1176,DL,8.0
1177,DL,-19.0
1178,DL,-23.0
1179,DL,-17.0
1180,DL,-32.0
1181,DL,-8.0
1182,DL,-20.0
1183,DL,-25.0
1184,DL,-22.0
1185,DL,-10.0
1186,DL,-30.0
1187,B6,-16.0
1188,EV,13.0
1189,EV,10.0
1190,EV,-10.0
1191,EV,-5.0
1192,F9,61.0
1193,HA,-14.0
1194,MQ,35.0
1195,MQ,0.0
1196,MQ,-26.0
1197,MQ,67.0
1198,NK,0.0
1199,NK,8.0
1200,NK,-12.0
1201,OO,11.0
1202,OO,2.0
1203,OO,-10.0
1204,OO,22.0
1205,OO,-18.0
1206,OO,-2.0
1207,OO,9.0
1208,OO,-7.0
1209,B6,-27.0
1210,DL,-12.0
1211,OO,-8.0
1212,UA,4.0
1213,UA,14.0
1214,UA,14.0
1215,NK,-4.0
1216,UA,-5.0
1217,UA,5.0
1218,US,-11.0
1219,US,-17.0
1220,US,-28.0
1221,US,-26.0
1222,UA,-18.0
1223,WN,-18.0
1224,WN,-3.0
1225,WN,-7.0
1226,WN,-26.0
1227,WN,-14.0
1228,WN,0.0
1229,WN,-14.0
1230,WN,-18.0
1231,WN,-9.0
1232,WN,0.0
1233,WN,-12.0
1234,UA,-27.0
1235,AA,-8.0
1236,AA,6.0
1237,AA,-23.0
1238,AA,-18.0
1239,AA,1.0
1240,AS,4.0
1241,AS,30.0
1242,AS,24.0
1243,B6,-11.0
1244,B6,-13.0
1245,DL,-4.0
1246,DL,0.0
1247,AA,-3.0
1248,DL,-39.0
1249,EV,125.0
1250,EV,-17.0
1251,OO,8.0
1252,HA,5.0
1253,UA,0.0
1254,B6,-22.0
1255,EV,-5.0
1256,UA,-23.0
1257,F9,-18.0
1258,WN,-6.0
1259,WN,-34.0
1260,WN,-2.0
1261,WN,-1.0
1262,WN,-1.0
1263,WN,-10.0
1264,WN,-10.0
1265,WN,-8.0
1266,WN,23.0
1267,WN,17.0
1268,WN,-13.0
1269,US,-20.0
1270,AA,1.0
1271,AA,2.0
1272,AA,0.0
1273,AA,12.0
1274,B6,-8.0
1275,B6,-7.0
1276,B6,-18.0
1277,DL,-14.0
1278,DL,170.0
1279,DL,-7.0
1280,DL,-10.0
1281,B6,-10.0
1282,F9,-21.0
1283,F9,3.0
1284,MQ,-40.0
1285,MQ,15.0
1286,MQ,16.0
1287,OO,-23.0
1288,NK,9.0
1289,OO,-7.0
1290,UA,-2.0
1291,UA,27.0
1292,OO,101.0
1293,UA,7.0
1294,AA,-12.0
1295,EV,-18.0
1296,OO,196.0
1297,OO,17.0
1298,UA,23.0
1299,UA,-2.0
1300,EV,-9.0
1301,OO,3.0
1302,UA,9.0
1303,UA,-14.0
1304,US,11.0
1305,US,-8.0
1306,US,-7.0
1307,US,-11.0
1308,UA,-30.0
1309,UA,-4.0
1310,WN,-20.0
1311,WN,-8.0
1312,WN,-9.0
1313,WN,-13.0
1314,WN,1.0
1315,WN,-8.0
1316,WN,-21.0
1317,WN,35.0
1318,WN,-5.0
1319,WN,-16.0
1320,WN,-4.0
1321,UA,-12.0
1322,US,6.0
1323,AA,9.0
1324,AA,-18.0
1325,AA,6.0
1326,AA,-16.0
1327,AA,4.0
1328,AS,-9.0
1329,B6,-27.0
1330,B6,-12.0
1331,DL,-21.0
1332,DL,-20.0
1333,DL,-19.0
1334,DL,-6.0
1335,DL,34.0
1336,DL,-3.0
1337,DL,-22.0
1338,DL,27.0
1339,DL,-15.0
1340,DL,-7.0
1341,DL,-15.0
1342,EV,3.0
1343,EV,-3.0
1344,EV,-6.0
1345,EV,10.0
1346,EV,10.0
1347,F9,-14.0
1348,MQ,-37.0
1349,OO,4.0
1350,OO,19.0
1351,OO,-8.0
1352,B6,1.0
1353,EV,9.0
1354,OO,-11.0
1355,UA,-5.0
1356,B6,-16.0
1357,OO,-10.0
1358,OO,57.0
1359,VX,-16.0
1360,WN,25.0
1361,WN,-11.0
1362,WN,-13.0
1363,WN,0.0
1364,WN,-16.0
1365,UA,-1.0
1366,UA,-1.0
1367,UA,-16.0
1368,UA,-14.0
1369,AA,-4.0
1370,AA,41.0
1371,AA,-10.0
1372,AA,11.0
1373,AA,-11.0
1374,AS,-29.0
1375,AS,-11.0
1376,AS,1.0
1377,AS,4.0
1378,DL,-24.0
1379,EV,4.0
1380,EV,25.0
1381,HA,2.0
1382,MQ,-38.0
1383,NK,5.0
1384,NK,67.0
1385,OO,12.0
1386,OO,8.0
1387,OO,-5.0
1388,OO,-5.0
1389,OO,-23.0
1390,UA,28.0
1391,EV,-9.0
1392,UA,-21.0
1393,UA,-2.0
1394,WN,21.0
1395,WN,-4.0
1396,WN,57.0
1397,WN,-10.0
1398,WN,-4.0
1399,WN,-11.0
1400,WN,2.0
