Unnamed: 0,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_AIRPORT_LAT,ORIGIN_AIRPORT_LON,DESTINATION_AIRPORT_LAT,DESTINATION_AIRPORT_LON
351,OO,ACV,SFO,40.97812,-124.10862,37.619,-122.37484
352,OO,DAL,IAH,32.84711,-96.85177,29.98047,-95.33972
353,OO,PAH,ORD,37.06083,-88.77375,41.9796,-87.90446
354,OO,PSC,SFO,46.26468,-119.11903,37.619,-122.37484
355,OO,CID,ORD,41.88459,-91.71087,41.9796,-87.90446
356,OO,EUG,SFO,44.12326,-123.21869,37.619,-122.37484
357,OO,DFW,DEN,32.89595,-97.0372,39.85841,-104.667
358,OO,MRY,SFO,36.58698,-121.84295,37.619,-122.37484
359,OO,SLC,LAX,40.78839,-111.97777,33.94254,-118.40807
360,OO,ESC,DTW,45.72267,-87.09373000000001,42.21206,-83.34884
361,OO,MFR,SFO,42.37423,-122.8735,37.619,-122.37484
362,OO,FAT,DEN,36.77619,-119.71814,39.85841,-104.667
363,UA,SFO,EWR,37.619,-122.37484,40.6925,-74.16866
365,UA,EWR,SFO,40.6925,-74.16866,37.619,-122.37484
366,EV,ISN,DEN,48.17794,-103.64235,39.85841,-104.667
368,OO,PSP,SFO,33.82922,-116.50625,37.619,-122.37484
369,OO,PSP,DEN,33.82922,-116.50625,39.85841,-104.667
370,UA,SAT,IAH,29.533690000000004,-98.46978,29.98047,-95.33972
371,UA,LAX,EWR,33.94254,-118.40807,40.6925,-74.16866
372,UA,LAX,SFO,33.94254,-118.40807,37.619,-122.37484
373,EV,CLE,IAD,41.41089,-81.8494,38.94453,-77.45581
374,EV,CAE,IAD,33.93884,-81.11954,38.94453,-77.45581
375,F9,PHX,DEN,33.43417,-112.00806,39.85841,-104.667
376,UA,SMF,IAH,38.69542,-121.59077,29.98047,-95.33972
377,UA,JFK,SFO,40.63975,-73.77893,37.619,-122.37484
378,US,BOS,PHX,42.36435,-71.00518000000001,33.43417,-112.00806
379,US,BOS,CLT,42.36435,-71.00518000000001,35.214009999999995,-80.94313000000001
380,US,DTW,MIA,42.21206,-83.34884,25.79325,-80.29056
381,UA,FLL,EWR,26.07258,-80.15275,40.6925,-74.16866
383,WN,SAT,STL,29.533690000000004,-98.46978,38.747690000000006,-90.35999
385,UA,CLE,EWR,41.41089,-81.8494,40.6925,-74.16866
386,US,DFW,PHX,32.89595,-97.0372,33.43417,-112.00806
388,AA,STL,DFW,38.747690000000006,-90.35999,32.89595,-97.0372
