ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents,parents2,TOTAL_FLIGHTS
870,OGG,US,293,-2.546075085324232,Airports,Airlines,194223
871,OGG,VX,29,4.448275862068965,Airports,Airlines,55813
872,OKC,AA,1649,5.8847786537295335,Airports,Airlines,636554
873,OKC,DL,1482,5.135627530364372,Airports,Airlines,794817
874,OKC,EV,1732,10.336027713625866,Airports,Airlines,509621
875,OKC,F9,52,16.03846153846154,Airports,Airlines,82005
876,OKC,MQ,2000,13.56,Airports,Airlines,257130
877,OKC,OO,2557,9.865858427845131,Airports,Airlines,530182
878,OKC,UA,584,8.58390410958904,Airports,Airlines,462086
879,OKC,WN,5741,7.411774952098938,Airports,Airlines,1138350
880,OMA,AA,1531,5.785760940561724,Airports,Airlines,636554
881,OMA,DL,2160,4.164814814814815,Airports,Airlines,794817
882,OMA,EV,2848,7.624648876404494,Airports,Airlines,509621
883,OMA,F9,276,7.836956521739131,Airports,Airlines,82005
884,OMA,MQ,831,7.222623345367028,Airports,Airlines,257130
885,OMA,OO,2133,8.71026722925457,Airports,Airlines,530182
886,OMA,UA,1119,15.343163538873997,Airports,Airlines,462086
887,OMA,US,342,1.5087719298245614,Airports,Airlines,194223
888,OMA,WN,5202,8.166666666666666,Airports,Airlines,1138350
889,OME,AS,632,5.439873417721519,Airports,Airlines,157025
890,ONT,AA,1905,8.565879265091864,Airports,Airlines,636554
891,ONT,AS,523,-1.2332695984703632,Airports,Airlines,157025
892,ONT,DL,211,-2.203791469194313,Airports,Airlines,794817
893,ONT,OO,4939,6.674428021866775,Airports,Airlines,530182
894,ONT,US,592,2.214527027027027,Airports,Airlines,194223
895,ONT,WN,9599,10.230023960829254,Airports,Airlines,1138350
896,ORD,AA,49557,13.09078434933511,Airports,Airlines,636554
897,ORD,AS,1732,6.541570438799076,Airports,Airlines,157025
898,ORD,B6,2210,17.529411764705884,Airports,Airlines,240304
899,ORD,DL,6918,13.806880601329864,Airports,Airlines,794817
900,ORD,EV,42606,9.405435854105056,Airports,Airlines,509621
901,ORD,F9,4552,21.335017574692444,Airports,Airlines,82005
902,ORD,MQ,59846,11.076095311299,Airports,Airlines,257130
