AIRPORT,MEAN_DEPARTURE_DELAY,ORIGIN_LAT,ORIGIN_LON,MEAN_DESTINATION_DELAY,DESTINATION_LAT,DESTINATION_LON
PHX,13.052380952380952,33.43417,-112.00805999999999,11.736470588235294,33.43417,-112.00806
PIA,0.1,40.66424,-89.69331,21.857142857142858,40.66424,-89.69331
PIB,0.5,31.46715,-89.33706,0.1,31.46715,-89.33706
PIH,0.1,42.91131,-112.59586000000002,0.1,42.91131,-112.59586000000002
PIT,3.0714285714285716,40.49147,-80.23286999999998,3.0,40.49147,-80.23286999999999
PLN,0.1,45.57093,-84.79672,120.0,45.57093,-84.79672
PNS,2.25,30.473310000000005,-87.18744000000001,6.842105263157895,30.473309999999998,-87.18744000000001
PSC,0.1,46.26468,-119.11903,21.4,46.26468,-119.11903
PSE,0.1,18.0083,-66.56300999999999,0.1,18.0083,-66.56300999999999
PSG,0.1,56.80165,-132.94528,0.1,56.80165,-132.94528
PSP,15.897435897435898,33.82922,-116.50625,6.842105263157895,33.82922,-116.50625000000001
PUB,0.1,38.28909,-104.49657,4.5,38.28909,-104.49657
PVD,3.896551724137931,41.724,-71.42822,0.1,41.724,-71.42822
PWM,0.1,43.64617,-70.30875,0.1,43.64617,-70.30875
RAP,12.142857142857142,44.04532,-103.05737,10.5,44.04532,-103.05737000000002
RDD,13.0,40.50898,-122.2934,10.333333333333334,40.50898,-122.2934
RDM,0.1,44.25407,-121.14996,0.1,44.25406999999999,-121.14996000000001
RDU,1.5180722891566265,35.87764,-78.78747,0.1,35.87764,-78.78747
RHI,0.1,45.63119,-89.46745,0.1,45.63119,-89.46745
RIC,0.1,37.50517,-77.31967,0.1,37.50517,-77.31967
RKS,0.1,41.59422,-109.06518999999999,26.5,41.59422,-109.06519
RNO,5.882352941176471,39.49858,-119.76806,4.3428571428571425,39.49858,-119.76805999999999
ROA,0.1,37.32547,-79.97543,0.1,37.32547,-79.97543
ROC,12.444444444444445,43.11887,-77.67238,1.7222222222222223,43.11887,-77.67238
RST,0.1,43.90883,-92.49799,0.1,43.90883,-92.49799
RSW,7.091836734693878,26.53617,-81.75516999999999,0.1,26.53617,-81.75516999999999
SAF,0.1,35.61678,-106.08814,11.0,35.61678,-106.08814
SAN,8.221052631578948,32.73356,-117.18966,7.301075268817204,32.73356,-117.18966
SAT,17.46153846153846,29.533690000000004,-98.46978,27.03846153846154,29.533690000000004,-98.46978
SAV,8.2,32.12758,-81.20214,0.1,32.12758,-81.20214
SBA,1.2857142857142858,34.42621,-119.84037000000001,3.8095238095238093,34.42621,-119.84037000000001
SBN,0.1,41.70895,-86.31846999999999,10.222222222222221,41.70895,-86.31846999999999
SBP,20.923076923076923,35.23706,-120.64239,21.0,35.23706,-120.64239
