ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT,AVERAGE_DEPARTURE_DELAY,parents_origin
363,DTW,F9,639,9.300469483568076,Airports
364,DTW,MQ,2143,16.406439570695287,Airports
365,DTW,NK,7169,16.675408006695495,Airports
366,DTW,OO,10218,8.914758269720101,Airports
367,DTW,UA,933,13.968917470525188,Airports
368,DTW,US,1539,4.152696556205328,Airports
369,DTW,WN,6156,8.77956465237167,Airports
370,DVL,OO,466,3.1609442060085837,Airports
371,EAU,OO,634,8.82807570977918,Airports
372,ECP,DL,1876,6.97228144989339,Airports
373,ECP,EV,663,4.3544494720965305,Airports
374,ECP,WN,1600,5.15375,Airports
375,EGE,AA,850,15.34470588235294,Airports
376,EGE,DL,101,11.94059405940594,Airports
377,EGE,UA,247,19.214574898785425,Airports
378,EKO,OO,517,-3.771760154738878,Airports
379,ELM,EV,2007,6.348281016442451,Airports
380,ELP,AA,1330,8.306766917293233,Airports
381,ELP,DL,695,6.870503597122302,Airports
382,ELP,EV,1514,3.3989431968295905,Airports
383,ELP,MQ,549,16.183970856102004,Airports
384,ELP,OO,1405,4.0711743772241995,Airports
385,ELP,WN,6313,8.821162680183749,Airports
386,ERI,EV,708,7.919491525423729,Airports
387,ESC,OO,554,7.256317689530686,Airports
388,EUG,OO,3558,7.183249016301293,Airports
389,EVV,DL,354,6.0141242937853105,Airports
390,EVV,EV,1806,7.444075304540421,Airports
391,EVV,MQ,1501,8.032644903397735,Airports
392,EVV,OO,46,10.847826086956522,Airports
393,EWN,EV,565,5.330973451327433,Airports
394,EWR,AA,5267,8.168976647047655,Airports
395,EWR,AS,651,2.7219662058371736,Airports
396,EWR,B6,6215,11.119710378117457,Airports
397,EWR,DL,4942,10.621813031161473,Airports
398,EWR,EV,29675,9.559191238416176,Airports
399,EWR,MQ,359,16.54874651810585,Airports
400,EWR,OO,2,299.5,Airports
401,EWR,UA,42164,18.58189450716251,Airports
402,EWR,US,2013,5.180824639841033,Airports
403,EWR,VX,1800,7.293333333333333,Airports
404,EWR,WN,5253,13.125452122596611,Airports
405,EYW,DL,983,4.90233977619532,Airports
406,EYW,EV,422,10.919431279620854,Airports
407,EYW,MQ,535,6.803738317757009,Airports
408,FAI,AS,1866,0.44694533762057875,Airports
409,FAI,DL,230,10.743478260869566,Airports
410,FAI,UA,73,54.986301369863014,Airports
411,FAR,DL,712,4.686797752808989,Airports
412,FAR,EV,1310,10.722900763358778,Airports
413,FAR,F9,54,28.185185185185187,Airports
414,FAR,MQ,1269,6.56107171000788,Airports
415,FAR,OO,2221,5.341737955875732,Airports
416,FAT,AA,605,17.568595041322315,Airports
417,FAT,F9,2,19.0,Airports
418,FAT,OO,6317,9.288111445306317,Airports
419,FAY,DL,470,6.506382978723404,Airports
420,FAY,EV,1142,10.875656742556918,Airports
421,FCA,DL,291,2.2061855670103094,Airports
422,FCA,OO,1705,1.3149560117302053,Airports
423,FLG,OO,1610,4.0459627329192545,Airports
424,FLL,AA,5232,5.381498470948012,Airports
425,FLL,AS,333,7.948948948948949,Airports
426,FLL,B6,17682,14.823379708177807,Airports
427,FLL,DL,10473,7.154301537286355,Airports
428,FLL,F9,693,21.571428571428573,Airports
